Start;Ende;Datum_Start;Datum_Ende;Zeit_Start;Zeit_Ende;Dauer_h;Strombezug_kWh;Durchschnittliche_Ladeleistung_kW
09.02.2022 07:45;09.02.2022 11:30;09.02.2022;09.02.2022;7:45;11:30;3.75; 6.86 ; 1.83 
09.02.2022 07:45;09.02.2022 10:45;09.02.2022;09.02.2022;7:45;10:45;3; 6.68 ; 2.23 
09.02.2022 12:15;09.02.2022 18:15;09.02.2022;09.02.2022;12:15;18:15;6; 10.86 ; 1.81 
09.02.2022 13:30;09.02.2022 17:45;09.02.2022;09.02.2022;13:30;17:45;4.25; 9.99 ; 2.35 
10.02.2022 07:30;10.02.2022 12:00;10.02.2022;10.02.2022;7:30;12:00;4.5; 35.02 ; 7.78 
10.02.2022 08:00;10.02.2022 13:00;10.02.2022;10.02.2022;8:00;13:00;5; 3.36 ; 0.67 
10.02.2022 08:15;10.02.2022 18:00;10.02.2022;10.02.2022;8:15;18:00;9.75; 11.60 ; 1.19 
10.02.2022 08:30;10.02.2022 10:15;10.02.2022;10.02.2022;8:30;10:15;1.75; 13.30 ; 7.60 
10.02.2022 12:00;10.02.2022 13:30;10.02.2022;10.02.2022;12:00;13:30;1.5; 14.81 ; 9.87 
10.02.2022 13:00;10.02.2022 17:30;10.02.2022;10.02.2022;13:00;17:30;4.5; 8.25 ; 1.83 
11.02.2022 07:45;11.02.2022 11:30;11.02.2022;11.02.2022;7:45;11:30;3.75; 8.77 ; 2.34 
11.02.2022 08:15;11.02.2022 12:15;11.02.2022;11.02.2022;8:15;12:15;4; 0.83 ; 0.21 
11.02.2022 09:45;11.02.2022 13:30;11.02.2022;11.02.2022;9:45;13:30;3.75; 4.63 ; 1.23 
11.02.2022 11:00;11.02.2022 15:00;11.02.2022;11.02.2022;11:00;15:00;4; 10.16 ; 2.54 
14.02.2022 08:00;14.02.2022 17:45;14.02.2022;14.02.2022;8:00;17:45;9.75; 12.99 ; 1.33 
14.02.2022 08:15;14.02.2022 18:15;14.02.2022;14.02.2022;8:15;18:15;10; 10.14 ; 1.01 
15.02.2022 08:00;15.02.2022 11:00;15.02.2022;15.02.2022;8:00;11:00;3; 5.09 ; 1.70 
15.02.2022 08:00;15.02.2022 17:15;15.02.2022;15.02.2022;8:00;17:15;9.25; 7.33 ; 0.79 
15.02.2022 10:15;15.02.2022 16:30;15.02.2022;15.02.2022;10:15;16:30;6.25; 4.27 ; 0.68 
16.02.2022 07:45;16.02.2022 17:30;16.02.2022;16.02.2022;7:45;17:30;9.75; 12.89 ; 1.32 
16.02.2022 08:00;16.02.2022 17:15;16.02.2022;16.02.2022;8:00;17:15;9.25; 6.77 ; 0.73 
16.02.2022 08:15;16.02.2022 16:15;16.02.2022;16.02.2022;8:15;16:15;8; 11.51 ; 1.44 
16.02.2022 08:45;16.02.2022 18:00;16.02.2022;16.02.2022;8:45;18:00;9.25; 5.38 ; 0.58 
17.02.2022 07:45;17.02.2022 18:00;17.02.2022;17.02.2022;7:45;18:00;10.25; 7.34 ; 0.72 
17.02.2022 08:00;17.02.2022 14:00;17.02.2022;17.02.2022;8:00;14:00;6; 7.52 ; 1.25 
17.02.2022 11:30;17.02.2022 18:00;17.02.2022;17.02.2022;11:30;18:00;6.5; 4.93 ; 0.76 
18.02.2022 06:45;18.02.2022 14:45;18.02.2022;18.02.2022;6:45;14:45;8; 11.12 ; 1.39 
18.02.2022 07:45;18.02.2022 12:15;18.02.2022;18.02.2022;7:45;12:15;4.5; 7.18 ; 1.60 
18.02.2022 07:45;18.02.2022 12:00;18.02.2022;18.02.2022;7:45;12:00;4.25; 8.57 ; 2.02 
18.02.2022 07:45;18.02.2022 15:00;18.02.2022;18.02.2022;7:45;15:00;7.25; 8.13 ; 1.12 
18.02.2022 09:15;18.02.2022 10:45;18.02.2022;18.02.2022;9:15;10:45;1.5; 15.69 ; 10.46 
18.02.2022 10:45;18.02.2022 15:45;18.02.2022;18.02.2022;10:45;15:45;5; 45.40 ; 9.08 
18.02.2022 12:15;18.02.2022 16:15;18.02.2022;18.02.2022;12:15;16:15;4; 0.85 ; 0.21 
19.02.2022 13:45;19.02.2022 18:00;19.02.2022;19.02.2022;13:45;18:00;4.25; 42.61 ; 10.03 
20.02.2022 12:30;21.02.2022 00:45;20.02.2022;21.02.2022;12:30;0:45;12.25; 41.60 ; 3.40 
22.02.2022 07:45;22.02.2022 11:45;22.02.2022;22.02.2022;7:45;11:45;4; 10.69 ; 2.67 
22.02.2022 08:00;22.02.2022 11:00;22.02.2022;22.02.2022;8:00;11:00;3; 9.65 ; 3.22 
22.02.2022 13:15;22.02.2022 18:15;22.02.2022;22.02.2022;13:15;18:15;5; 6.78 ; 1.36 
23.02.2022 08:15;23.02.2022 18:15;23.02.2022;23.02.2022;8:15;18:15;10; 3.13 ; 0.31 
23.02.2022 08:15;23.02.2022 14:15;23.02.2022;23.02.2022;8:15;14:15;6; 3.82 ; 0.64 
23.02.2022 10:30;23.02.2022 11:30;23.02.2022;23.02.2022;10:30;11:30;1; 12.32 ; 12.32 
23.02.2022 11:00;23.02.2022 18:15;23.02.2022;23.02.2022;11:00;18:15;7.25; 10.28 ; 1.42 
23.02.2022 12:15;23.02.2022 17:45;23.02.2022;23.02.2022;12:15;17:45;5.5; 11.47 ; 2.09 
24.02.2022 12:45;24.02.2022 16:45;24.02.2022;24.02.2022;12:45;16:45;4; 4.52 ; 1.13 
25.02.2022 07:45;25.02.2022 15:30;25.02.2022;25.02.2022;7:45;15:30;7.75; 11.37 ; 1.47 
25.02.2022 07:45;25.02.2022 16:45;25.02.2022;25.02.2022;7:45;16:45;9; 48.40 ; 5.38 
28.02.2022 06:00;28.02.2022 09:00;28.02.2022;28.02.2022;6:00;9:00;3; 5.27 ; 1.76 
28.02.2022 08:15;28.02.2022 17:30;28.02.2022;28.02.2022;8:15;17:30;9.25; 61.87 ; 6.69 
28.02.2022 08:30;28.02.2022 10:45;28.02.2022;28.02.2022;8:30;10:45;2.25; 22.93 ; 10.19 
28.02.2022 15:15;28.02.2022 18:30;28.02.2022;28.02.2022;15:15;18:30;3.25; 10.00 ; 3.08 
01.03.2022 08:00;01.03.2022 11:15;01.03.2022;01.03.2022;8:00;11:15;3.25; 3.65 ; 1.12 
01.03.2022 16:00;01.03.2022 17:45;01.03.2022;01.03.2022;16:00;17:45;1.75; 13.09 ; 7.48 
02.03.2022 07:45;02.03.2022 17:45;02.03.2022;02.03.2022;7:45;17:45;10; 11.86 ; 1.19 
02.03.2022 07:45;02.03.2022 11:15;02.03.2022;02.03.2022;7:45;11:15;3.5; 20.76 ; 5.93 
02.03.2022 08:00;02.03.2022 11:00;02.03.2022;02.03.2022;8:00;11:00;3; 4.97 ; 1.66 
02.03.2022 09:15;02.03.2022 09:45;02.03.2022;02.03.2022;9:15;9:45;0.5; 2.93 ; 5.85 
02.03.2022 12:00;02.03.2022 16:00;02.03.2022;02.03.2022;12:00;16:00;4; 10.17 ; 2.54 
02.03.2022 14:15;02.03.2022 17:45;02.03.2022;02.03.2022;14:15;17:45;3.5; 7.55 ; 2.16 
02.03.2022 15:15;02.03.2022 17:15;02.03.2022;02.03.2022;15:15;17:15;2; 20.01 ; 10.01 
03.03.2022 07:45;03.03.2022 11:45;03.03.2022;03.03.2022;7:45;11:45;4; 11.04 ; 2.76 
03.03.2022 08:00;03.03.2022 16:30;03.03.2022;03.03.2022;8:00;16:30;8.5; 11.27 ; 1.33 
03.03.2022 11:00;03.03.2022 17:00;03.03.2022;03.03.2022;11:00;17:00;6; 4.45 ; 0.74 
03.03.2022 14:15;04.03.2022 00:45;03.03.2022;04.03.2022;14:15;0:45;10.5; 66.57 ; 6.34 
03.03.2022 16:15;03.03.2022 18:15;03.03.2022;03.03.2022;16:15;18:15;2; 4.69 ; 2.35 
04.03.2022 07:45;04.03.2022 16:00;04.03.2022;04.03.2022;7:45;16:00;8.25; 11.14 ; 1.35 
04.03.2022 17:15;04.03.2022 19:15;04.03.2022;04.03.2022;17:15;19:15;2; 18.50 ; 9.25 
04.03.2022 18:00;04.03.2022 23:30;04.03.2022;04.03.2022;18:00;23:30;5.5; 11.33 ; 2.06 
07.03.2022 07:45;07.03.2022 11:00;07.03.2022;07.03.2022;7:45;11:00;3.25; 6.83 ; 2.10 
07.03.2022 08:00;07.03.2022 10:45;07.03.2022;07.03.2022;8:00;10:45;2.75; 28.80 ; 10.47 
07.03.2022 08:00;07.03.2022 19:15;07.03.2022;07.03.2022;8:00;19:15;11.25; 11.25 ; 1.00 
07.03.2022 08:00;07.03.2022 17:45;07.03.2022;07.03.2022;8:00;17:45;9.75; 12.93 ; 1.33 
07.03.2022 08:30;07.03.2022 15:15;07.03.2022;07.03.2022;8:30;15:15;6.75; 9.06 ; 1.34 
07.03.2022 11:15;07.03.2022 15:45;07.03.2022;07.03.2022;11:15;15:45;4.5; 9.57 ; 2.13 
08.03.2022 07:45;08.03.2022 11:45;08.03.2022;08.03.2022;7:45;11:45;4; 9.44 ; 2.36 
08.03.2022 08:45;08.03.2022 12:45;08.03.2022;08.03.2022;8:45;12:45;4; 9.62 ; 2.41 
08.03.2022 09:15;08.03.2022 18:00;08.03.2022;08.03.2022;9:15;18:00;8.75; 10.95 ; 1.25 
08.03.2022 11:15;08.03.2022 17:45;08.03.2022;08.03.2022;11:15;17:45;6.5; 5.86 ; 0.90 
09.03.2022 08:15;09.03.2022 17:45;09.03.2022;09.03.2022;8:15;17:45;9.5; 9.83 ; 1.04 
09.03.2022 09:30;09.03.2022 14:45;09.03.2022;09.03.2022;9:30;14:45;5.25; 3.49 ; 0.66 
10.03.2022 09:00;10.03.2022 13:00;10.03.2022;10.03.2022;9:00;13:00;4; 10.43 ; 2.61 
11.03.2022 07:45;11.03.2022 15:00;11.03.2022;11.03.2022;7:45;15:00;7.25; 11.30 ; 1.56 
11.03.2022 07:45;11.03.2022 11:45;11.03.2022;11.03.2022;7:45;11:45;4; 10.35 ; 2.59 
11.03.2022 10:45;11.03.2022 16:30;11.03.2022;11.03.2022;10:45;16:30;5.75; 50.00 ; 8.69 
11.03.2022 12:45;11.03.2022 15:30;11.03.2022;11.03.2022;12:45;15:30;2.75; 27.58 ; 10.03 
11.03.2022 16:30;11.03.2022 17:30;11.03.2022;11.03.2022;16:30;17:30;1; 8.89 ; 8.89 
14.03.2022 07:45;14.03.2022 12:15;14.03.2022;14.03.2022;7:45;12:15;4.5; 5.00 ; 1.11 
14.03.2022 08:00;14.03.2022 18:00;14.03.2022;14.03.2022;8:00;18:00;10; 11.55 ; 1.16 
14.03.2022 08:15;14.03.2022 12:15;14.03.2022;14.03.2022;8:15;12:15;4; 10.27 ; 2.57 
14.03.2022 08:45;14.03.2022 16:45;14.03.2022;14.03.2022;8:45;16:45;8; 4.94 ; 0.62 
14.03.2022 15:45;14.03.2022 18:45;14.03.2022;14.03.2022;15:45;18:45;3; 8.75 ; 2.92 
15.03.2022 08:00;15.03.2022 18:00;15.03.2022;15.03.2022;8:00;18:00;10; 11.23 ; 1.12 
15.03.2022 10:45;15.03.2022 18:15;15.03.2022;15.03.2022;10:45;18:15;7.5; 4.92 ; 0.66 
15.03.2022 12:00;15.03.2022 18:15;15.03.2022;15.03.2022;12:00;18:15;6.25; 14.52 ; 2.32 
16.03.2022 08:00;16.03.2022 18:00;16.03.2022;16.03.2022;8:00;18:00;10; 9.06 ; 0.91 
16.03.2022 08:00;16.03.2022 10:15;16.03.2022;16.03.2022;8:00;10:15;2.25; 3.18 ; 1.42 
16.03.2022 08:30;16.03.2022 12:15;16.03.2022;16.03.2022;8:30;12:15;3.75; 9.67 ; 2.58 
16.03.2022 08:45;16.03.2022 16:30;16.03.2022;16.03.2022;8:45;16:30;7.75; 4.63 ; 0.60 
16.03.2022 13:30;16.03.2022 17:15;16.03.2022;16.03.2022;13:30;17:15;3.75; 2.27 ; 0.60 
17.03.2022 07:45;17.03.2022 12:00;17.03.2022;17.03.2022;7:45;12:00;4.25; 10.97 ; 2.58 
17.03.2022 07:45;17.03.2022 18:15;17.03.2022;17.03.2022;7:45;18:15;10.5; 11.56 ; 1.10 
17.03.2022 08:15;17.03.2022 10:15;17.03.2022;17.03.2022;8:15;10:15;2; 5.03 ; 2.51 
17.03.2022 08:45;17.03.2022 12:30;17.03.2022;17.03.2022;8:45;12:30;3.75; 39.81 ; 10.62 
17.03.2022 09:00;17.03.2022 13:30;17.03.2022;17.03.2022;9:00;13:30;4.5; 43.62 ; 9.69 
17.03.2022 10:15;17.03.2022 13:30;17.03.2022;17.03.2022;10:15;13:30;3.25; 5.94 ; 1.83 
18.03.2022 07:45;18.03.2022 16:00;18.03.2022;18.03.2022;7:45;16:00;8.25; 9.62 ; 1.17 
18.03.2022 10:45;18.03.2022 14:15;18.03.2022;18.03.2022;10:45;14:15;3.5; 35.72 ; 10.20 
18.03.2022 12:30;18.03.2022 14:00;18.03.2022;18.03.2022;12:30;14:00;1.5; 13.14 ; 8.76 
20.03.2022 18:00;20.03.2022 20:15;20.03.2022;20.03.2022;18:00;20:15;2.25; 5.51 ; 2.45 
21.03.2022 07:15;21.03.2022 13:15;21.03.2022;21.03.2022;7:15;13:15;6; 10.99 ; 1.83 
21.03.2022 07:45;21.03.2022 12:30;21.03.2022;21.03.2022;7:45;12:30;4.75; 6.93 ; 1.46 
22.03.2022 08:00;22.03.2022 10:45;22.03.2022;22.03.2022;8:00;10:45;2.75; 4.02 ; 1.46 
22.03.2022 08:15;22.03.2022 12:15;22.03.2022;22.03.2022;8:15;12:15;4; 10.45 ; 2.61 
22.03.2022 08:30;22.03.2022 11:15;22.03.2022;22.03.2022;8:30;11:15;2.75; 4.91 ; 1.78 
22.03.2022 08:45;22.03.2022 12:15;22.03.2022;22.03.2022;8:45;12:15;3.5; 31.15 ; 8.90 
23.03.2022 08:00;23.03.2022 17:30;23.03.2022;23.03.2022;8:00;17:30;9.5; 11.16 ; 1.18 
23.03.2022 09:30;23.03.2022 12:00;23.03.2022;23.03.2022;9:30;12:00;2.5; 3.92 ; 1.57 
23.03.2022 15:15;23.03.2022 18:00;23.03.2022;23.03.2022;15:15;18:00;2.75; 8.67 ; 3.15 
24.03.2022 07:45;24.03.2022 10:00;24.03.2022;24.03.2022;7:45;10:00;2.25; 4.26 ; 1.89 
24.03.2022 08:00;24.03.2022 12:15;24.03.2022;24.03.2022;8:00;12:15;4.25; 10.33 ; 2.43 
24.03.2022 12:30;24.03.2022 19:30;24.03.2022;24.03.2022;12:30;19:30;7; 1.28 ; 0.18 
24.03.2022 16:15;24.03.2022 19:30;24.03.2022;24.03.2022;16:15;19:30;3.25; 9.24 ; 2.84 
24.03.2022 20:00;24.03.2022 21:00;24.03.2022;24.03.2022;20:00;21:00;1; 6.00 ; 6.00 
25.03.2022 07:45;25.03.2022 15:45;25.03.2022;25.03.2022;7:45;15:45;8; 11.16 ; 1.40 
25.03.2022 07:45;25.03.2022 13:45;25.03.2022;25.03.2022;7:45;13:45;6; 8.67 ; 1.44 
28.03.2022 08:00;28.03.2022 18:00;28.03.2022;28.03.2022;8:00;18:00;10; 11.92 ; 1.19 
28.03.2022 08:00;28.03.2022 12:00;28.03.2022;28.03.2022;8:00;12:00;4; 9.60 ; 2.40 
28.03.2022 08:00;28.03.2022 11:00;28.03.2022;28.03.2022;8:00;11:00;3; 4.75 ; 1.58 
28.03.2022 08:30;28.03.2022 12:45;28.03.2022;28.03.2022;8:30;12:45;4.25; 10.43 ; 2.45 
28.03.2022 12:00;28.03.2022 18:30;28.03.2022;28.03.2022;12:00;18:30;6.5; 1.69 ; 0.26 
28.03.2022 12:30;28.03.2022 17:45;28.03.2022;28.03.2022;12:30;17:45;5.25; 32.29 ; 6.15 
29.03.2022 08:00;29.03.2022 12:45;29.03.2022;29.03.2022;8:00;12:45;4.75; 11.50 ; 2.42 
29.03.2022 08:15;29.03.2022 16:00;29.03.2022;29.03.2022;8:15;16:00;7.75; 18.62 ; 2.40 
30.03.2022 07:45;30.03.2022 17:30;30.03.2022;30.03.2022;7:45;17:30;9.75; 11.02 ; 1.13 
31.03.2022 07:45;31.03.2022 15:30;31.03.2022;31.03.2022;7:45;15:30;7.75; 28.66 ; 3.70 
31.03.2022 08:00;31.03.2022 17:45;31.03.2022;31.03.2022;8:00;17:45;9.75; 6.73 ; 0.69 
31.03.2022 08:00;31.03.2022 17:15;31.03.2022;31.03.2022;8:00;17:15;9.25; 7.88 ; 0.85 
31.03.2022 11:30;31.03.2022 15:30;31.03.2022;31.03.2022;11:30;15:30;4; 40.29 ; 10.07 
31.03.2022 16:00;31.03.2022 18:30;31.03.2022;31.03.2022;16:00;18:30;2.5; 7.05 ; 2.82 
01.04.2022 07:45;01.04.2022 17:00;01.04.2022;01.04.2022;7:45;17:00;9.25; 8.39 ; 0.91 
03.04.2022 15:45;03.04.2022 16:15;03.04.2022;03.04.2022;15:45;16:15;0.5; 0.80 ; 1.61 
04.04.2022 08:00;04.04.2022 18:00;04.04.2022;04.04.2022;8:00;18:00;10; 9.19 ; 0.92 
04.04.2022 11:00;04.04.2022 14:45;04.04.2022;04.04.2022;11:00;14:45;3.75; 7.56 ; 2.02 
06.04.2022 07:45;06.04.2022 17:45;06.04.2022;06.04.2022;7:45;17:45;10; 11.68 ; 1.17 
06.04.2022 08:15;06.04.2022 16:30;06.04.2022;06.04.2022;8:15;16:30;8.25; 14.61 ; 1.77 
07.04.2022 08:45;07.04.2022 13:00;07.04.2022;07.04.2022;8:45;13:00;4.25; 10.27 ; 2.42 
08.04.2022 11:00;08.04.2022 15:00;08.04.2022;08.04.2022;11:00;15:00;4; 0.70 ; 0.17 
08.04.2022 11:45;08.04.2022 16:45;08.04.2022;08.04.2022;11:45;16:45;5; 11.65 ; 2.33 
11.04.2022 08:15;11.04.2022 12:00;11.04.2022;11.04.2022;8:15;12:00;3.75; 12.70 ; 3.39 
11.04.2022 09:45;11.04.2022 18:30;11.04.2022;11.04.2022;9:45;18:30;8.75; 12.79 ; 1.46 
11.04.2022 11:45;11.04.2022 14:30;11.04.2022;11.04.2022;11:45;14:30;2.75; 4.20 ; 1.53 
12.04.2022 09:00;12.04.2022 18:15;12.04.2022;12.04.2022;9:00;18:15;9.25; 11.45 ; 1.24 
13.04.2022 07:30;13.04.2022 11:15;13.04.2022;13.04.2022;7:30;11:15;3.75; 10.69 ; 2.85 
13.04.2022 08:00;13.04.2022 12:30;13.04.2022;13.04.2022;8:00;12:30;4.5; 8.84 ; 1.97 
13.04.2022 11:00;13.04.2022 15:30;13.04.2022;13.04.2022;11:00;15:30;4.5; 7.17 ; 1.59 
13.04.2022 11:30;13.04.2022 18:00;13.04.2022;13.04.2022;11:30;18:00;6.5; 11.64 ; 1.79 
13.04.2022 15:15;13.04.2022 16:45;13.04.2022;13.04.2022;15:15;16:45;1.5; 3.35 ; 2.23 
13.04.2022 16:30;13.04.2022 17:15;13.04.2022;13.04.2022;16:30;17:15;0.75; 2.42 ; 3.23 
14.04.2022 07:45;14.04.2022 18:15;14.04.2022;14.04.2022;7:45;18:15;10.5; 4.77 ; 0.45 
14.04.2022 07:45;14.04.2022 18:00;14.04.2022;14.04.2022;7:45;18:00;10.25; 11.30 ; 1.10 
14.04.2022 08:00;14.04.2022 12:15;14.04.2022;14.04.2022;8:00;12:15;4.25; 13.99 ; 3.29 
14.04.2022 08:15;14.04.2022 13:30;14.04.2022;14.04.2022;8:15;13:30;5.25; 8.50 ; 1.62 
14.04.2022 08:30;14.04.2022 19:15;14.04.2022;14.04.2022;8:30;19:15;10.75; 6.90 ; 0.64 
14.04.2022 12:00;14.04.2022 15:30;14.04.2022;14.04.2022;12:00;15:30;3.5; 3.07 ; 0.88 
16.04.2022 14:45;16.04.2022 18:00;16.04.2022;16.04.2022;14:45;18:00;3.25; 32.59 ; 10.03 
19.04.2022 08:00;19.04.2022 11:30;19.04.2022;19.04.2022;8:00;11:30;3.5; 7.32 ; 2.09 
19.04.2022 08:15;19.04.2022 17:45;19.04.2022;19.04.2022;8:15;17:45;9.5; 10.51 ; 1.11 
19.04.2022 08:30;19.04.2022 18:45;19.04.2022;19.04.2022;8:30;18:45;10.25; 12.24 ; 1.19 
19.04.2022 08:45;19.04.2022 12:15;19.04.2022;19.04.2022;8:45;12:15;3.5; 9.20 ; 2.63 
19.04.2022 12:00;19.04.2022 17:30;19.04.2022;19.04.2022;12:00;17:30;5.5; 7.09 ; 1.29 
20.04.2022 07:45;20.04.2022 11:45;20.04.2022;20.04.2022;7:45;11:45;4; 8.43 ; 2.11 
20.04.2022 08:00;20.04.2022 17:45;20.04.2022;20.04.2022;8:00;17:45;9.75; 11.56 ; 1.19 
20.04.2022 08:00;20.04.2022 16:15;20.04.2022;20.04.2022;8:00;16:15;8.25; 12.96 ; 1.57 
20.04.2022 10:30;20.04.2022 16:45;20.04.2022;20.04.2022;10:30;16:45;6.25; 10.21 ; 1.63 
20.04.2022 11:15;20.04.2022 15:00;20.04.2022;20.04.2022;11:15;15:00;3.75; 5.63 ; 1.50 
20.04.2022 11:30;20.04.2022 14:15;20.04.2022;20.04.2022;11:30;14:15;2.75; 2.55 ; 0.93 
21.04.2022 08:00;21.04.2022 11:15;21.04.2022;21.04.2022;8:00;11:15;3.25; 21.34 ; 6.57 
21.04.2022 08:00;21.04.2022 18:00;21.04.2022;21.04.2022;8:00;18:00;10; 17.14 ; 1.71 
21.04.2022 08:15;21.04.2022 15:00;21.04.2022;21.04.2022;8:15;15:00;6.75; 11.53 ; 1.71 
21.04.2022 08:15;21.04.2022 18:00;21.04.2022;21.04.2022;8:15;18:00;9.75; 6.04 ; 0.62 
21.04.2022 08:15;21.04.2022 12:30;21.04.2022;21.04.2022;8:15;12:30;4.25; 4.37 ; 1.03 
21.04.2022 09:15;21.04.2022 16:15;21.04.2022;21.04.2022;9:15;16:15;7; 12.68 ; 1.81 
21.04.2022 11:30;21.04.2022 14:45;21.04.2022;21.04.2022;11:30;14:45;3.25; 9.27 ; 2.85 
21.04.2022 12:45;21.04.2022 17:00;21.04.2022;21.04.2022;12:45;17:00;4.25; 4.92 ; 1.16 
21.04.2022 14:15;21.04.2022 18:00;21.04.2022;21.04.2022;14:15;18:00;3.75; 9.73 ; 2.59 
21.04.2022 14:30;21.04.2022 18:30;21.04.2022;21.04.2022;14:30;18:30;4; 1.45 ; 0.36 
22.04.2022 08:00;22.04.2022 14:30;22.04.2022;22.04.2022;8:00;14:30;6.5; 6.59 ; 1.01 
22.04.2022 08:15;22.04.2022 15:45;22.04.2022;22.04.2022;8:15;15:45;7.5; 6.28 ; 0.84 
22.04.2022 12:00;22.04.2022 16:00;22.04.2022;22.04.2022;12:00;16:00;4; 11.10 ; 2.78 
22.04.2022 15:45;22.04.2022 17:45;22.04.2022;22.04.2022;15:45;17:45;2; 20.31 ; 10.15 
25.04.2022 08:00;25.04.2022 12:15;25.04.2022;25.04.2022;8:00;12:15;4.25; 6.45 ; 1.52 
25.04.2022 08:00;25.04.2022 17:30;25.04.2022;25.04.2022;8:00;17:30;9.5; 10.19 ; 1.07 
25.04.2022 08:45;25.04.2022 13:00;25.04.2022;25.04.2022;8:45;13:00;4.25; 9.17 ; 2.16 
25.04.2022 10:00;25.04.2022 18:45;25.04.2022;25.04.2022;10:00;18:45;8.75; 4.89 ; 0.56 
25.04.2022 13:15;25.04.2022 18:45;25.04.2022;25.04.2022;13:15;18:45;5.5; 13.82 ; 2.51 
26.04.2022 08:00;26.04.2022 17:30;26.04.2022;26.04.2022;8:00;17:30;9.5; 11.05 ; 1.16 
26.04.2022 08:00;26.04.2022 12:15;26.04.2022;26.04.2022;8:00;12:15;4.25; 6.09 ; 1.43 
26.04.2022 08:00;26.04.2022 18:15;26.04.2022;26.04.2022;8:00;18:15;10.25; 17.22 ; 1.68 
26.04.2022 08:00;26.04.2022 18:15;26.04.2022;26.04.2022;8:00;18:15;10.25; 9.47 ; 0.92 
26.04.2022 08:15;26.04.2022 18:15;26.04.2022;26.04.2022;8:15;18:15;10; 4.55 ; 0.45 
26.04.2022 09:00;26.04.2022 18:30;26.04.2022;26.04.2022;9:00;18:30;9.5; 12.18 ; 1.28 
26.04.2022 10:15;26.04.2022 14:30;26.04.2022;26.04.2022;10:15;14:30;4.25; 8.25 ; 1.94 
26.04.2022 14:15;26.04.2022 16:15;26.04.2022;26.04.2022;14:15;16:15;2; 2.42 ; 1.21 
27.04.2022 08:15;27.04.2022 11:45;27.04.2022;27.04.2022;8:15;11:45;3.5; 6.97 ; 1.99 
27.04.2022 08:30;27.04.2022 17:45;27.04.2022;27.04.2022;8:30;17:45;9.25; 17.30 ; 1.87 
27.04.2022 08:30;27.04.2022 18:15;27.04.2022;27.04.2022;8:30;18:15;9.75; 9.04 ; 0.93 
27.04.2022 08:45;27.04.2022 13:00;27.04.2022;27.04.2022;8:45;13:00;4.25; 9.17 ; 2.16 
27.04.2022 09:00;27.04.2022 17:30;27.04.2022;27.04.2022;9:00;17:30;8.5; 6.34 ; 0.75 
27.04.2022 09:00;27.04.2022 18:15;27.04.2022;27.04.2022;9:00;18:15;9.25; 4.58 ; 0.50 
27.04.2022 10:15;27.04.2022 17:00;27.04.2022;27.04.2022;10:15;17:00;6.75; 11.09 ; 1.64 
28.04.2022 07:45;28.04.2022 17:45;28.04.2022;28.04.2022;7:45;17:45;10; 11.41 ; 1.14 
28.04.2022 08:00;28.04.2022 17:00;28.04.2022;28.04.2022;8:00;17:00;9; 16.99 ; 1.89 
28.04.2022 09:00;28.04.2022 09:15;28.04.2022;28.04.2022;9:00;9:15;0.25; 0.60 ; 2.40 
28.04.2022 13:30;28.04.2022 16:30;28.04.2022;28.04.2022;13:30;16:30;3; 8.28 ; 2.76 
29.04.2022 07:45;29.04.2022 15:45;29.04.2022;29.04.2022;7:45;15:45;8; 11.29 ; 1.41 
29.04.2022 10:45;29.04.2022 16:00;29.04.2022;29.04.2022;10:45;16:00;5.25; 44.34 ; 8.45 
02.05.2022 07:15;02.05.2022 12:15;02.05.2022;02.05.2022;7:15;12:15;5; 9.27 ; 1.85 
02.05.2022 08:00;02.05.2022 17:15;02.05.2022;02.05.2022;8:00;17:15;9.25; 5.49 ; 0.59 
02.05.2022 08:00;02.05.2022 18:15;02.05.2022;02.05.2022;8:00;18:15;10.25; 11.13 ; 1.09 
02.05.2022 12:30;02.05.2022 16:45;02.05.2022;02.05.2022;12:30;16:45;4.25; 9.41 ; 2.21 
04.05.2022 08:15;04.05.2022 18:30;04.05.2022;04.05.2022;8:15;18:30;10.25; 11.46 ; 1.12 
05.05.2022 08:15;05.05.2022 10:45;05.05.2022;05.05.2022;8:15;10:45;2.5; 5.30 ; 2.12 
05.05.2022 08:15;05.05.2022 10:00;05.05.2022;05.05.2022;8:15;10:00;1.75; 0.85 ; 0.49 
05.05.2022 09:00;05.05.2022 10:15;05.05.2022;05.05.2022;9:00;10:15;1.25; 12.85 ; 10.28 
05.05.2022 13:00;06.05.2022 16:30;05.05.2022;06.05.2022;13:00;16:30;27.5; 9.54 ; 0.35 
06.05.2022 07:30;06.05.2022 14:15;06.05.2022;06.05.2022;7:30;14:15;6.75; 7.02 ; 1.04 
06.05.2022 07:45;06.05.2022 16:15;06.05.2022;06.05.2022;7:45;16:15;8.5; 11.19 ; 1.32 
06.05.2022 08:15;06.05.2022 13:00;06.05.2022;06.05.2022;8:15;13:00;4.75; 36.65 ; 7.72 
06.05.2022 09:30;06.05.2022 13:45;06.05.2022;06.05.2022;9:30;13:45;4.25; 1.96 ; 0.46 
09.05.2022 08:00;09.05.2022 10:15;09.05.2022;09.05.2022;8:00;10:15;2.25; 4.28 ; 1.90 
09.05.2022 08:00;09.05.2022 18:15;09.05.2022;09.05.2022;8:00;18:15;10.25; 10.89 ; 1.06 
