Start;Ende;Datum_Start;Datum_Ende;Zeit_Start;Zeit_Ende;Dauer_h;Strombezug_kWh;Durchschnittliche_Ladeleistung_kW
17.12.2022 01:15;17.12.2022 02:00;17.12.2022;17.12.2022;1:15;2:00;0.75; 1.26 ; 1.68 
19.12.2022 08:00;19.12.2022 16:00;19.12.2022;19.12.2022;8:00;16:00;8; 16.90 ; 2.11 
19.12.2022 08:00;19.12.2022 14:30;19.12.2022;19.12.2022;8:00;14:30;6.5; 11.10 ; 1.71 
19.12.2022 08:15;19.12.2022 12:45;19.12.2022;19.12.2022;8:15;12:45;4.5; 6.59 ; 1.46 
19.12.2022 08:15;19.12.2022 17:30;19.12.2022;19.12.2022;8:15;17:30;9.25; 9.59 ; 1.04 
19.12.2022 08:30;19.12.2022 17:15;19.12.2022;19.12.2022;8:30;17:15;8.75; 5.91 ; 0.68 
19.12.2022 08:45;19.12.2022 11:45;19.12.2022;19.12.2022;8:45;11:45;3; 5.70 ; 1.90 
19.12.2022 09:15;19.12.2022 13:00;19.12.2022;19.12.2022;9:15;13:00;3.75; 5.37 ; 1.43 
19.12.2022 12:30;19.12.2022 16:45;19.12.2022;19.12.2022;12:30;16:45;4.25; 8.89 ; 2.09 
20.12.2022 08:15;20.12.2022 12:45;20.12.2022;20.12.2022;8:15;12:45;4.5; 5.90 ; 1.31 
20.12.2022 08:30;20.12.2022 17:45;20.12.2022;20.12.2022;8:30;17:45;9.25; 7.69 ; 0.83 
21.12.2022 08:00;21.12.2022 17:00;21.12.2022;21.12.2022;8:00;17:00;9; 11.58 ; 1.29 
21.12.2022 08:30;21.12.2022 17:00;21.12.2022;21.12.2022;8:30;17:00;8.5; 6.88 ; 0.81 
21.12.2022 08:30;21.12.2022 12:45;21.12.2022;21.12.2022;8:30;12:45;4.25; 10.12 ; 2.38 
21.12.2022 09:00;21.12.2022 17:30;21.12.2022;21.12.2022;9:00;17:30;8.5; 17.35 ; 2.04 
21.12.2022 09:00;21.12.2022 17:15;21.12.2022;21.12.2022;9:00;17:15;8.25; 9.86 ; 1.20 
21.12.2022 09:15;21.12.2022 17:30;21.12.2022;21.12.2022;9:15;17:30;8.25; 5.89 ; 0.71 
21.12.2022 10:45;21.12.2022 14:30;21.12.2022;21.12.2022;10:45;14:30;3.75; 38.27 ; 10.21 
21.12.2022 12:30;21.12.2022 16:15;21.12.2022;21.12.2022;12:30;16:15;3.75; 5.88 ; 1.57 
21.12.2022 15:15;21.12.2022 18:15;21.12.2022;21.12.2022;15:15;18:15;3; 6.49 ; 2.16 
22.12.2022 07:45;22.12.2022 09:15;22.12.2022;22.12.2022;7:45;9:15;1.5; 1.70 ; 1.13 
22.12.2022 08:00;22.12.2022 12:15;22.12.2022;22.12.2022;8:00;12:15;4.25; 8.66 ; 2.04 
22.12.2022 08:15;22.12.2022 12:00;22.12.2022;22.12.2022;8:15;12:00;3.75; 6.56 ; 1.75 
22.12.2022 08:15;22.12.2022 16:30;22.12.2022;22.12.2022;8:15;16:30;8.25; 8.11 ; 0.98 
22.12.2022 08:30;22.12.2022 17:15;22.12.2022;22.12.2022;8:30;17:15;8.75; 15.29 ; 1.75 
22.12.2022 10:45;22.12.2022 17:30;22.12.2022;22.12.2022;10:45;17:30;6.75; 5.50 ; 0.81 
22.12.2022 13:00;22.12.2022 17:00;22.12.2022;22.12.2022;13:00;17:00;4; 6.52 ; 1.63 
22.12.2022 14:15;22.12.2022 17:30;22.12.2022;22.12.2022;14:15;17:30;3.25; 9.39 ; 2.89 
23.12.2022 07:30;23.12.2022 16:00;23.12.2022;23.12.2022;7:30;16:00;8.5; 10.99 ; 1.29 
